,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9
2031-09-01,750703.6073624014,579104.8169638464,498960.98954198527,670574.2550000311,606388.2905663009,886128.0535444667,896713.298941691,690470.4841567385,771618.5792492171,809501.067374613
2031-10-01,760746.8077746719,568595.8842924766,487349.34069279156,681179.9816000647,597353.8014388181,884088.1612339909,881779.7848246071,687162.8121787129,775192.9207556011,842540.4108486281
2031-11-01,734227.7053742928,546354.8072741509,482952.05098323245,685233.1108569851,591170.0573397154,892387.1933676767,869963.6874663616,702313.9846089357,782767.8539842087,852786.4045283266
2031-12-01,706153.4750981164,565856.4766139676,468632.1938088305,675822.7712776175,580373.463282905,888504.401358187,857240.8686115281,716904.212159168,779038.8827904247,856954.1942755153
2032-01-01,694661.1965378929,569910.9751001614,463193.2732862678,684188.7697200952,601184.5550755837,923376.1796667185,873975.1401366452,740782.6934525386,757580.8175025661,888773.7048349384
2032-02-01,672252.101581993,582245.0269589892,464002.61913810874,656709.8392155702,596430.2359257843,938888.2199298015,864489.7868277485,763528.6254159482,773427.9901993955,894502.8978924701
2032-03-01,656398.0938428782,591804.1611339621,458233.72051260207,638548.5500609503,596818.9268977663,948721.5065933826,881065.06595692,778066.9798433456,785244.3832807336,894809.452069833
2032-04-01,658239.9968589697,597049.5366465219,451229.0406749012,624480.5175792892,588603.5848439789,955831.109725569,896767.8795848633,760273.4132220575,806079.0863007245,885855.8863929118
2032-05-01,653260.3246795335,592561.7622345623,443416.4429996329,600610.8102922083,577704.909676498,959996.7544033342,901122.3244006714,719265.085021029,822787.3418628501,888123.7237468809
2032-06-01,658282.6569899095,599117.2505375071,448637.87097748107,592739.4431960434,577183.5787069264,967845.1409707527,887608.0291761773,714681.3701711263,849921.0246430956,902772.3916252116
2032-07-01,656176.0286105619,576276.6773294805,440963.5489114048,594835.1741108429,573368.9720706269,992056.520229143,872661.9775754693,712486.1469141027,853388.4143926112,890777.2047031706
2032-08-01,673511.9136304698,566933.7925674195,450484.6917667316,574286.1492590997,601478.530585957,966413.1936082545,853697.6224298638,720908.1310531979,835105.6026230442,896221.6746104516
2032-09-01,675767.5498362262,554816.4754100762,446993.23836877267,562022.0585425801,622786.9449588676,967595.2797323668,850562.3114370728,721986.8388039477,814086.2913438549,904801.953229248
2032-10-01,672818.0415680815,565370.5099999227,445352.25198163616,552483.1746940643,622156.8060878912,981953.9533480827,867322.8678482998,709507.2049774845,793436.5833587266,928678.2557174366
2032-11-01,667146.7431920472,573971.6061373899,448683.48513557186,536973.4184703586,635853.9180235241,994865.0407222979,878118.5951591324,698762.3616110532,775864.4983201381,954828.7459930165
2032-12-01,676787.4052044894,576812.392428592,462839.5844902369,524965.73874284,616862.851866841,1001604.361305413,861209.5476436426,678298.3116978079,768735.8803736612,957423.806435354
2033-01-01,675324.9489740307,599047.2596170655,469843.350040236,516423.4754331289,592785.5958021544,991816.0075175572,831776.8244319482,660762.1695247819,760738.2612701337,939264.2669214343
2033-02-01,675828.3311900233,604228.6106124164,489485.72186421626,484980.87741370004,608573.872409539,1003032.626268279,830840.4234879247,653005.269266289,743644.2306367491,936048.7916965464
2033-03-01,667333.5030225477,609478.8681737811,511395.80264097295,480783.8979297698,596587.2902284373,1028496.5304965095,828163.8078602667,644306.7439197636,751255.5820144343,930310.9909735346
2033-04-01,698292.4486259778,627033.7598743503,530476.8343586487,473019.06374143803,590546.3986815105,1025209.6010393471,831736.8031886317,649485.6996903613,781881.221595923,905883.3908054511
2033-05-01,697578.6995959508,646956.3911662302,548231.1395444211,465671.5770585202,606069.5464537786,1056213.1842966636,832932.8120899128,633411.0815102385,790304.193821243,875269.4209871058
2033-06-01,704802.0719271709,685226.9858243134,568666.2464660499,478049.4855777094,603904.2208395057,1081011.0677548358,843177.4714783389,630606.0483696125,789944.952029463,855470.8637737583
2033-07-01,698093.4796345547,692191.524114683,571938.0190455379,497514.7158982014,610154.5183805763,1128134.9605392923,845485.2858040053,625560.0052705852,800193.0611932223,840047.7308549066
2033-08-01,681990.7394076347,681936.082981253,559291.8584670755,521825.02053773304,581114.3150664058,1166111.4923166852,836881.830189237,620367.7486245909,792057.5217808845,827808.036930322
2033-09-01,682161.182644076,676711.5494609555,542985.9560555456,547009.290821261,551775.1924359954,1148150.4027254174,867422.1344062439,604215.3312163552,813953.4379006408,826083.4334286969
2033-10-01,671697.2100642114,661849.2132638437,529928.5274505569,546791.8120887333,541983.208962324,1150300.829810515,848789.7677997736,572510.2958090049,820983.3350080866,826421.7055903283
2033-11-01,702749.1341121448,679559.6259066948,518890.8494591641,542966.8538238178,508894.3101190362,1170033.2934051382,861408.2106464729,556215.4406629473,799884.7358459376,840313.0697653331
2033-12-01,702043.9576957466,672768.9542839043,515035.3096055662,543147.6850285381,498149.6977820142,1139840.5924377423,854131.32100152,544068.5951050207,792061.8375003567,830894.4935629182
2034-01-01,728505.5754510792,661032.159037234,514397.29334202665,534695.1588611191,491521.08649524336,1148532.3756547885,835927.3220808821,532605.5320128729,747522.4419349863,820707.3378472005
2034-02-01,745864.7472701995,636026.3139843778,508068.2490358527,524999.0644545861,479632.56989852886,1109618.9241996522,846176.9732886599,518736.0761238954,722418.219466024,825309.4513251304
2034-03-01,766874.9618145456,648094.5084808224,497636.5798819563,535766.610096831,470984.0386180831,1137382.9643438738,856368.2896048595,512731.4634159355,711724.8890051141,855392.2372525716
2034-04-01,743568.7786037248,642286.8733960778,482422.75205705874,530696.2733350542,473049.592075958,1141930.6265689326,869967.7643191302,505633.52545758616,696501.585035848,858070.5759410701
2034-05-01,721807.3654056803,648842.419569785,460895.45321839704,522050.7131614778,480435.0542697269,1109260.7543338083,876284.5991692628,503455.1421981705,683587.9555024178,842388.8711830744
2034-06-01,734145.0645305509,667179.1612159266,445336.68660043844,524480.6342526173,468417.7919600362,1091515.3440506002,874214.1125667077,504994.2458554167,669287.4246926947,822970.8833539453
2034-07-01,735621.2197040739,672533.0398307774,447210.42781721655,515191.95760889753,465468.23088680685,1046687.6983613523,856170.5285269024,488745.80503343616,648263.7030254599,797667.6569508238
2034-08-01,729999.6400645854,676038.9807695061,442823.316260647,512886.2421478638,444182.54340487794,1013969.7238571005,841473.8701599787,484088.9098342521,638609.5973276926,769653.0600671117
2034-09-01,712427.2154219699,663606.5952029999,444051.7739454391,492678.74205452355,438464.10787874996,1008061.0793227653,822626.531339437,471645.28245578695,629562.9623417145,746790.478832696
2034-10-01,692712.7772085635,670925.0634745525,445302.57078266307,498064.6355016005,443849.5538854701,1008105.4140566054,817609.9330894545,465390.8637838379,626875.2630043963,736549.9022937646
2034-11-01,679286.0013243005,669149.0616185676,429377.1758659369,476685.78198692034,422618.5382246599,1029772.972416336,826168.6424123838,462011.29065544985,638223.9336016481,707348.9272688597
2034-12-01,665890.4734231405,684942.6340994168,418164.04898306297,475886.2914669208,415988.3022146216,1037141.6018920853,795650.7897707055,470785.29008618137,641468.8608829785,683491.0657312922
2035-01-01,632557.0331777417,710353.7782679467,411497.4210718063,468141.7260133173,418111.8464891326,1034283.4233227428,783434.2700424339,479446.0071826342,645272.3778584996,679671.7084505648
2035-02-01,632616.9534772112,698536.0281362956,407507.86423052975,469442.2243516547,401338.9273152811,1016281.9443197337,794776.2275378056,496029.7795128635,637284.3835673081,703540.0450015324
2035-03-01,641544.7004633327,685186.588486727,402429.53183919744,465436.81891880673,401526.4780790938,1012083.4412474446,800170.4408152199,514843.67813631386,621217.7048982666,687194.8523121349
2035-04-01,635254.7463553143,676055.342321298,396265.9313192124,455636.56132023927,410549.3063109792,1048637.0334590548,811666.582430941,523340.6642580014,619771.1450164646,668144.3278836566
2035-05-01,627302.7321844207,654885.6367313407,386837.5862923885,464917.2641162764,414148.1759394423,1098369.6544525262,834449.5266056695,526392.4152395154,614300.1923891078,662678.7489127278
2035-06-01,613895.3857680684,646531.0010398099,369686.6217612421,472630.6532690463,429299.9259552478,1106248.332249953,838049.7765630654,513890.3921666268,610963.7565527327,666600.3996111628
2035-07-01,630715.7097124967,634864.2195583357,381700.5354532358,481073.6394689725,445419.24139796157,1092344.6244225262,827943.8408804534,511223.1068426602,598411.4687422942,663875.8934110233
2035-08-01,623711.4486064347,634863.732834985,374838.0967387288,495294.8236007185,442066.9575725178,1104846.058036336,832713.6198118269,513351.601470901,586100.6484721821,634304.0383546532
2035-09-01,645269.1169139036,625257.0691317708,372477.02154090465,495561.9088565936,450560.90122865274,1073879.36746445,851814.0962429483,506888.37460782967,569812.6639080998,614360.441620452
2035-10-01,656085.5443507425,618252.8259377535,373268.92840092524,519344.71349313465,458301.6181025387,1062799.245194736,863582.1095657382,500747.6693070849,565820.1670743456,616731.5450161543
2035-11-01,646852.6368107016,632370.5658415298,370041.4685691217,532839.8374519645,456188.0551673181,1082025.3064885733,857206.5556129697,485011.6839767854,555317.4249085386,608136.0202064277
2035-12-01,653450.166685417,621855.4180752276,370289.54959520506,538833.1847640258,448216.5419427175,1071184.95016065,856977.7982979912,469527.3867158658,547367.5451201978,600972.6463018728
2036-01-01,653717.740259773,611397.8456652008,372428.59810257575,544523.82817091,450011.0069614875,1067163.8228012351,833282.470991221,453525.1340454586,553776.9105809443,610059.1364131311
2036-02-01,654579.9358474371,598216.5557618864,380631.31178824126,561665.1226061267,453407.45027190173,1056757.6328611835,828016.4282450476,429955.6471954517,545825.9632039963,603838.8397738194
2036-03-01,652255.2619311167,588776.1054284436,393570.7036148306,588155.7760568211,458735.0657510225,1084955.774913907,824585.6491392967,406343.88417218544,546475.9210072355,603752.2668403988
2036-04-01,646232.8814197285,581504.2290083083,403960.7415176884,609854.6200176078,454037.3880574034,1059311.8778658947,819814.4597738349,413770.7932194283,557463.1173119339,616270.9120666864
2036-05-01,615073.8407186612,580822.1101149669,409522.27969604946,617700.9746676012,469520.93329139886,1018095.4950426286,869283.189791618,422399.86337512836,576051.155859835,617610.2243074963
2036-06-01,623435.2554487921,585273.3586089833,404701.9387343633,628088.1109444944,473815.37181627715,1002063.65765534,883976.1861556118,405223.63177811255,585199.2045195566,614424.1538483816
2036-07-01,623176.6558423601,572235.0980653635,386634.6377013712,653014.4523891915,475293.8524785906,1016701.863759919,853895.5358365137,404540.10197085416,590735.2830398252,621549.9307479193
2036-08-01,625598.0552372166,570814.1800557034,383626.1415709341,685296.6167544934,491214.8466377568,985859.3259763884,855644.1601771595,405939.76924029086,601781.9314753221,604692.4360505927
2036-09-01,640832.5397293431,558866.3776081579,369813.26910702046,700726.2712116553,498675.4122423734,999298.6432471675,841324.2053171205,404823.5658679315,606873.881494535,573515.1247205544
2036-10-01,624539.1455326092,547502.3055196819,367046.75983151916,709011.455045763,482145.31131708244,1011885.0743618506,836204.8995576838,395124.62178512046,631146.1824399441,551850.5289216131
2036-11-01,592153.5749501842,522612.92933267687,370337.02684808744,742668.1793033263,481771.46073347336,967595.9104017315,799335.5050079441,384323.49016287655,649152.9204043262,525961.3372640188
2036-12-01,559529.3361721623,502757.46317883756,366738.51868468523,763669.3215707317,480281.9066962131,967407.0103395211,760893.7737504067,378176.17887379817,655423.1653064645,521412.46818250127
2037-01-01,563264.7566368857,492985.3296569549,361019.1113280973,793243.7510251943,501435.158402059,950827.5608501367,728830.8233880885,376756.5402837968,662547.2765778453,504253.40788717044
2037-02-01,572781.7264236411,493990.5303704221,347181.3943859634,796335.8433629021,519802.14485169854,952195.7305160981,721901.4207787439,368997.10080209724,660263.858883847,488171.43847521325
2037-03-01,567222.6294895848,490536.14995270333,340356.9741828059,805844.4504022022,538344.7444701951,947788.1802271043,695340.1809522633,365538.8783427326,660584.5025521072,478633.94310744863
2037-04-01,574789.8446108743,489433.31792832783,334841.61184911,801695.3489022913,557171.4388573943,951719.029551374,700168.3679151159,363023.59386575513,655594.8724574805,455006.8772017261
