,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2038-10-01,1713874.3501225486,1624908.1578898728,2101922.763355199,2989150.0917094117,1692426.026960889,2420786.24968393,2428087.136801802,1488472.6205733912,1492009.3451546342,1259385.116659438,2145699.2558745723,1725616.611434083,2594632.8640617607,1515741.0680782793,2969994.4985043276,2114202.3040367067,2688840.0774867604,1370592.4026987744,1558640.9389061208,1633109.0912798117
2038-11-01,1684235.2253865884,1674856.583713658,2076464.487379531,2965710.5702378387,1674738.728988394,2431569.385062081,2473494.1635820656,1488354.6222999922,1477586.3988300238,1256281.436637718,2090008.2774563495,1719377.6781511498,2586227.2169143865,1505909.9363489256,2941176.618320321,2178131.801029523,2679699.960040121,1390223.6788834105,1551389.8639598337,1620377.795386773
2038-12-01,1686081.2049462488,1698552.774764022,2065275.8680199885,2977032.2245863187,1656477.1343549567,2386126.2077223193,2522984.1863607415,1483355.913830255,1469277.7631469003,1257674.4945225602,2072119.1630518683,1695887.8983787473,2595081.44483561,1515748.0010995695,2941941.99083328,2225590.129608547,2689692.8958329754,1421450.4078056545,1540468.6408597652,1591967.3246381101
2039-01-01,1704098.9435451855,1707395.1902620615,2043363.3657623713,3009926.9995517833,1653119.24838139,2351712.5338912955,2590710.81740096,1507584.4887478976,1471582.5946235578,1270943.0395623099,2054366.1840862369,1695335.374545624,2610647.717315759,1538857.0135162952,2941272.6769479,2288017.287797017,2689516.285131263,1451936.4204251706,1531605.891953374,1586708.2019903616
2039-02-01,1722293.7246666884,1721882.0676817182,2028662.773040107,3022913.6278091706,1686351.7265530895,2341039.2778453645,2653164.9069404537,1536354.1681210045,1494041.969221434,1290936.6359943561,2081201.155723096,1699993.0413077292,2634528.952670971,1575942.4578252332,2996613.744017632,2334205.975711487,2691598.1561705577,1488837.6696751877,1534127.4499039787,1579515.9491733038
2039-03-01,1730657.4456859531,1711231.333915195,1989353.4492490753,3078035.3280948903,1715306.7769935976,2331425.821463506,2653274.8390169656,1539119.7432782014,1500096.325745158,1302373.4882754658,2069852.7021655913,1702966.0280369062,2656411.8349485914,1610813.2526731365,3023646.794608193,2390143.2941531665,2718914.573811375,1512638.0445790407,1534415.7393305304,1568946.9519432678
2039-04-01,1749193.0332896374,1696600.6013384324,1980638.105574198,3126464.676712368,1723271.5123424118,2307554.4515858353,2648261.288371799,1537599.0390939529,1501744.5103423211,1303818.863609399,2085969.74361425,1730332.8185577113,2673781.7808361016,1643385.9885542744,3077781.50476033,2425353.803512883,2744856.7358198743,1550092.10400657,1539530.3456336686,1563353.2951712436
2039-05-01,1750904.039566382,1706195.9478628295,1969181.8314935113,3174011.144906589,1721766.54462045,2285587.198634765,2639120.1924780942,1547591.3954851844,1529654.465524775,1307904.7978109056,2073119.3492748477,1758981.0976298014,2652701.446982439,1674516.175953981,3161609.4732697546,2464157.1320129917,2773669.955220905,1586675.4891862473,1537513.6952313466,1536883.6634020458
2039-06-01,1778470.6829393096,1712676.6394873322,1949605.0679379476,3167773.3770652865,1712924.2753809437,2260048.9457069994,2639028.006516352,1546193.6080942228,1557866.5554305862,1326040.5014901469,2039067.616004791,1789577.566473319,2670230.59205005,1685293.5696208987,3193701.1562688793,2476368.4011009694,2770352.6949096983,1623447.5551288556,1544063.9791857481,1556043.9960046136
2039-07-01,1784944.8822536091,1714846.0964246667,1959401.4915758504,3133693.413559973,1688987.0662022983,2231423.645091082,2610764.552797661,1535348.958084451,1575909.7252187487,1340980.7253487865,2017214.5044613415,1799845.9508905497,2690342.988853494,1674163.267528997,3204385.320874213,2490744.8460250488,2721648.611622208,1658232.0344505797,1546519.917975283,1573094.9367972591
2039-08-01,1775737.9026975986,1717390.374478498,1985101.297258189,3090866.764123166,1686511.8044526787,2243765.2937501,2615710.4357210738,1518823.1841803123,1583731.7404657358,1344245.8305225088,1984564.5726849867,1798588.0995172053,2689180.970886228,1686086.5004684033,3211866.3243715293,2475254.777734328,2661729.8772836085,1674361.2271299153,1542535.79541446,1585206.65512891
2039-09-01,1765276.581277067,1727151.4845649898,2018880.0654832255,3104477.5471162884,1680153.4296246297,2254303.93710871,2652935.352413703,1515248.690598641,1585517.4227930927,1354702.399065177,1955219.7348828616,1803508.9345891594,2707378.4309453103,1701469.4342768507,3201016.036686481,2498820.2377450564,2632162.0240363786,1699133.953017109,1559443.3745548385,1583900.3904436908
2039-10-01,1765010.9222909003,1721658.3734898956,2035492.7289562281,3138822.912195681,1682759.367696226,2249623.2263673428,2703829.5610955865,1506582.1471501586,1587610.7473904497,1350868.515401039,1920481.6079683765,1799429.2024902445,2678425.3657594314,1714148.949921029,3190541.81990623,2548519.2631739,2640980.9738255655,1712129.6002914554,1535548.525903182,1577708.0234758689
2039-11-01,1758703.9243192933,1686258.6459354851,2070434.494016986,3154896.382255685,1693379.4337195915,2253936.3835169636,2732922.2140112114,1502584.0006252744,1591404.9474178003,1342084.8135427097,1890493.9968786247,1787408.6715081648,2646826.0654516006,1711613.790597855,3173533.8417055453,2600915.4079516027,2648631.19801628,1713209.4978357228,1527511.504280904,1552515.5527957599
2039-12-01,1754500.832387526,1668140.8571412512,2096425.3857081796,3200383.6263267836,1704078.6330899594,2228630.9435927616,2726561.4626989504,1489385.870937486,1569954.4733436743,1326921.8618414563,1886464.2169687636,1805647.934774114,2635270.2784615625,1712040.0661552884,3178600.775171201,2617058.725763068,2669702.1720858794,1717069.3308606958,1531354.74180976,1532453.7279088718
2040-01-01,1764608.513898124,1659166.172041531,2146086.557840401,3210261.223365434,1716202.5665789284,2252108.402204354,2756440.375752487,1498359.376366033,1556186.9103889365,1315925.8371413003,1898242.592235712,1863207.1144322967,2632634.2145578475,1724904.2355483556,3217808.685728298,2666438.369445168,2660147.9101232933,1711353.5863349938,1551915.1017306694,1529818.944067218
2040-02-01,1800511.1872272538,1648855.7286209168,2188542.4404928735,3278127.037424245,1716474.0193651072,2270679.935644184,2789176.3457740503,1516553.103736134,1572665.914311033,1306920.8110227494,1911368.2914229152,1929738.387141257,2682286.8782374216,1742897.0326412325,3327333.3117602477,2664235.5876502083,2688483.353252668,1709799.082190724,1578625.6344151665,1523666.8381790286
2040-03-01,1828359.4095997617,1642993.5646408913,2224419.5521314493,3318134.88901096,1737827.2782700467,2286560.2567164986,2855169.143251172,1532419.3236872617,1591032.3572775694,1299831.0519670895,1918408.5491240907,1950713.4701541015,2706177.7877191957,1752572.8848693115,3431149.4630741025,2678877.0917360745,2705297.668698026,1689366.7213496915,1601742.9204561198,1525144.479139322
2040-04-01,1844158.0741311999,1628452.054716857,2233039.0212117913,3343446.3453256455,1759590.7846583135,2321274.7011446557,2900936.492527627,1544185.383357702,1582726.8638997416,1293813.9958768755,1925218.7831280364,1938423.595178617,2737194.754486491,1742444.3910377494,3499449.819447669,2679161.107538795,2753958.219723429,1675361.3202634023,1620195.7158423616,1517839.8080925662
2040-05-01,1862645.404613959,1627477.0612864676,2256583.061649339,3365730.494130601,1768393.808886283,2335187.5230645197,2933657.2141704885,1537462.6422087797,1580179.875573729,1300257.5463194235,1936464.7517629277,1929019.0975710368,2722593.8148766467,1765224.166553975,3570328.4075540877,2701341.904752545,2768358.465704308,1653873.4551530501,1645095.7110242182,1507893.4090903176
2040-06-01,1881779.2972421504,1632159.8979622575,2255269.908825868,3354547.5620123865,1786519.2814917979,2345943.6475976147,2945945.261237725,1537403.3034749955,1568068.979077142,1289592.006603945,1933115.383835216,1925663.4601638496,2726773.019182914,1792195.4958308437,3591376.571787282,2709874.5124428086,2766332.2913295142,1639863.8608354635,1663316.957462392,1508750.483269703
2040-07-01,1873791.8535084992,1636990.421053076,2238322.763706304,3319049.595144537,1772736.4612077062,2359634.565374292,2914862.6419207053,1519243.7461969613,1548408.9890149205,1280430.9534262917,1948688.2153928287,1924383.4731392167,2730939.72838524,1790672.2608034676,3539130.150829319,2743542.6872493173,2742146.777928776,1636054.0307467259,1679021.4913110621,1503577.6627130797
2040-08-01,1856984.2932546136,1662729.852762307,2228361.160513834,3263119.3442524318,1785633.8387151763,2359688.107321973,2940180.2568558548,1516968.7215672382,1559309.0043459074,1272183.9696265964,1951555.1263187875,1948600.728395577,2750383.0247538676,1794802.9981081353,3463820.1586495154,2765283.802269553,2754492.4613007754,1656573.2957344442,1668334.4369679573,1528728.423830315
2040-09-01,1858096.2735234618,1676747.5940403463,2237764.869549372,3269001.928880616,1794282.2623740612,2332938.1774616567,2969257.513913192,1527700.5047174757,1588416.3423590185,1272783.0744072779,1970888.073800925,1982302.9440730377,2772797.6871171487,1778643.4984710217,3410092.5424691564,2773338.743578026,2755006.3535654773,1667438.819005616,1675940.3857919024,1552927.7784061015
2040-10-01,1858129.007305402,1694470.7565167781,2241882.181871967,3246788.5898795505,1811859.3961008752,2298317.517328017,3029008.422620925,1554649.0611438781,1634360.2184265729,1263556.2507908356,1968812.2949898813,2011226.2821920344,2754803.8046155237,1789559.8319226895,3379527.776354216,2731364.731421865,2749083.0832044627,1647394.0100024876,1665504.3441285621,1543968.2802095134
2040-11-01,1867385.203128983,1695294.0438788426,2285551.489232224,3237360.097403891,1822448.4896580006,2250021.1180847567,3055961.541305447,1557959.2200324847,1662484.6716748134,1254814.4404098638,1961779.6755676556,2012168.435683038,2728556.316250819,1785108.6738419363,3344158.355751427,2707438.4745884207,2729048.952920703,1619537.0239536767,1663104.1861755247,1544811.6138803218
2040-12-01,1892165.9780302544,1685428.9569867095,2292417.5223123436,3210653.792090881,1832858.1928890918,2198882.5140713807,3085044.583330261,1550559.3837481083,1698542.3187154538,1253524.477146659,1975439.1623022642,1989505.3611585724,2687387.6796710426,1792105.2474969993,3295303.722274772,2702794.628854048,2740163.162119781,1602455.5143962747,1643245.9129153874,1559501.1999984982
2041-01-01,1912989.5239599736,1700056.2202532347,2307443.2917935005,3195486.6148860906,1834280.2756896452,2178941.3829768645,3147981.499148618,1558940.0301669193,1750499.9202345982,1256014.6054506444,1991945.0282692676,1995963.8997337646,2684803.351806312,1780193.4659587122,3319449.5729574026,2720435.4799752813,2782263.858983583,1609613.2416953847,1626409.8774529286,1581927.7401745874
2041-02-01,1931266.7661229095,1723767.118305668,2300796.2826249283,3199827.284999575,1834647.9837718813,2187832.2930943784,3219453.8803592804,1567993.970803918,1790858.6337133434,1262885.5850320938,2018367.5170992885,2021843.1543929982,2685477.156390435,1790227.162807137,3363910.2914954536,2743779.81969569,2842566.2338459357,1631407.5022783994,1644788.7447643096,1601270.5435530148
2041-03-01,1922084.4157977833,1755963.4108125418,2291263.0918103717,3142905.3630674435,1825432.0721177077,2196113.07169812,3293866.7487738975,1561290.134067535,1815499.1823463382,1255525.384901646,2044561.8789901577,2063336.2842009533,2692329.3890643883,1793669.6025659041,3396893.8377644676,2707011.429607615,2881715.242692989,1634798.9359747954,1659175.744744645,1617952.2153529846
2041-04-01,1910691.6598276207,1758150.9293233762,2300628.3688922804,3134076.5146804117,1835802.3750762388,2222262.539485059,3348517.759694572,1575649.1211068097,1828698.874773306,1263993.3930407553,2073155.4206692944,2104833.8350160485,2733694.1569797723,1786107.669113506,3411283.5589803224,2683743.6355716037,2897747.1713929945,1647473.3838843245,1674715.3350075402,1622151.1562825276
2041-05-01,1942663.5314411637,1763009.1022639077,2325279.0155780036,3134550.9827625193,1841199.0032287936,2193287.5958298887,3395761.429893892,1578300.1801013828,1852501.1926235873,1283658.1057046277,2117161.9793647,2119612.474815768,2770575.3733267137,1818243.7320001216,3438199.7074425397,2749787.908088137,2882773.187145154,1665029.6622599114,1698899.9845138253,1625031.5249017375
2041-06-01,1956142.345471303,1736726.3960883517,2343926.115937006,3172598.0592929646,1842833.262433276,2130991.5654217154,3426992.2832446974,1595727.5952914453,1843469.9604062105,1275896.81881791,2194255.998232918,2124187.167154547,2764065.3700629026,1839419.4006693673,3476710.7454103096,2832637.869317526,2856219.011170278,1654755.6906803562,1714409.83539125,1637964.654407237
2041-07-01,1974519.2540072047,1701279.6049512033,2312154.070783379,3200533.608924236,1795880.8270836389,2090906.688573618,3451958.5587524488,1585141.036075412,1825256.8784387356,1280839.1942442856,2278119.5353444526,2129424.01630967,2755331.366090638,1864301.1094014922,3445382.3633286636,2870947.6095271762,2830976.861211852,1631611.4545731538,1721441.6092454854,1668102.8340011109
2041-08-01,1964579.2869746415,1674764.285962605,2264002.5414880137,3209722.556506656,1777927.613310432,2076103.9277614888,3497908.8363167564,1572362.3568821924,1811910.9156922202,1285856.5426925535,2364122.38684034,2136851.991466609,2746909.7783333617,1864585.6261820453,3394128.04166139,2849600.244945455,2843870.642997234,1617311.8404876497,1722627.1804471058,1706086.9537165307
2041-09-01,1967106.831191876,1684780.765440427,2246309.5381206195,3214872.667138003,1772888.8709234702,2081219.2505192682,3537303.4638048243,1564463.6058251902,1816379.9925810033,1283428.4213157692,2403613.109038197,2157999.765329336,2731802.8275420507,1870959.9550132754,3369303.2738395934,2822474.235602587,2829873.8987079253,1615998.5598303296,1718945.4903255133,1703250.6595887686
2041-10-01,1966832.2622304508,1700175.491355908,2249124.95784042,3179329.0632984946,1775585.2636928442,2062840.0756400235,3603070.207395453,1549893.5422426597,1839346.0883908365,1285485.9854601312,2432868.111070608,2173175.3207222135,2721415.9481093436,1864173.7062184159,3328156.4636821304,2811660.4995198795,2820158.119917482,1603413.7421616074,1723662.0127422435,1690895.2978473653
2041-11-01,1968013.0985297977,1712186.7531675252,2255639.370406317,3187295.7620248203,1786369.1198677192,2056641.6321739736,3617969.891901879,1532052.023837893,1848626.0652809711,1259631.3375357327,2452197.1738659237,2155026.539986388,2732112.2097214228,1861853.4120318035,3256044.2142711035,2790765.3017974203,2752370.3096261295,1601782.8610464814,1715300.6652273685,1657908.773634383
