,iter_0,iter_1,iter_2,iter_3,iter_4,iter_5,iter_6,iter_7,iter_8,iter_9,iter_10,iter_11,iter_12,iter_13,iter_14,iter_15,iter_16,iter_17,iter_18,iter_19
2037-08-01,2011292.8565933898,1850601.7467301525,2600603.6781132626,3432028.696644261,1982134.379354662,2545694.8895524964,2358927.9355666353,1657210.4956728278,1670281.1198592647,1428087.146800714,2347881.4490231853,1849226.799072685,2744033.5806857883,1748551.8249481693,3336599.5500518074,2025495.8352814068,3191262.7197942254,1651690.131242905,1758318.2047444687,1856313.4188232294
2037-09-01,2041109.9951063385,1893475.7396662158,2606911.216600993,3465647.288087786,2003673.6221022508,2557226.5903505515,2390388.6835239814,1644165.6054641635,1675383.5294247095,1441099.771695209,2409462.9347198945,1873662.9607990303,2831381.316637075,1745154.9518602118,3322801.4147591586,2033256.3971573492,3232542.889337949,1662038.885900302,1777194.2148925923,1864875.9638640324
2037-10-01,2044314.5593431734,1916240.8301327548,2608886.3332787333,3473610.8393748105,2017880.9499770894,2563506.593155661,2432362.0101927244,1632095.4105174255,1696370.2963184728,1444474.44200065,2451098.3359324457,1917504.85842403,2861592.7558739875,1752201.0972017378,3323578.3176837647,2068440.2602506443,3267986.585013322,1664028.9383519595,1797133.9034442094,1839545.8401518243
2037-11-01,2039558.6536338087,1944408.7726511888,2616631.211503427,3473824.134580275,2015421.2131130206,2584424.8307012157,2465954.8251313805,1634865.9377223956,1687966.9050799892,1453016.6116446732,2508640.2853498072,1946351.4015205072,2838212.8688295935,1752158.1654988267,3345036.9496559002,2103726.1265948745,3256576.956427383,1670101.709694252,1809962.8917443582,1809883.9968406097
2037-12-01,2018979.6041630453,1928628.2118242548,2632178.2054171353,3458650.020526614,2014147.9246072343,2597957.3744188924,2452898.2064925693,1663818.0607264233,1686143.3786618954,1463283.4587944958,2561320.160706332,1957949.837170166,2812773.479972384,1751725.4268116008,3340134.4412224097,2142670.2217766587,3258934.6453096773,1686025.3819091145,1803562.1419519149,1781179.3939456302
2038-01-01,2041445.5346054356,1904144.405156151,2679092.3004822694,3469446.9448598013,2015884.0080447565,2613084.5261192443,2463634.8399693063,1702203.6021960953,1708783.7768529977,1481252.692757518,2588020.622625942,1984563.6081999224,2842607.289599143,1738394.9013424534,3388094.475946091,2194121.382075284,3289870.935460428,1719202.1991312655,1814187.3271247807,1783976.3945176213
2038-02-01,2081365.5100965265,1900065.5353671883,2691482.8185702306,3456241.2309692632,2020825.7436766396,2614676.1725772065,2524986.19580691,1722167.9964514347,1741407.878342467,1500652.9648494811,2617511.0414814604,1985648.1679716469,2872498.851857835,1754233.4411040954,3455253.8419851605,2254480.870084635,3329788.66060066,1739849.5860008849,1839107.1740137099,1802162.3591867585
2038-03-01,2107835.3571230834,1891599.6563055804,2699463.1462606583,3465126.2914295364,1997899.8176476606,2639771.784103098,2620763.442729861,1719447.8076207659,1765168.1407801076,1516565.4553192405,2614729.5037109233,1976393.727196557,2890246.052284588,1756578.5187672756,3504138.853916441,2289806.705620326,3338609.914932254,1746012.2656822759,1885343.448928513,1835458.9493334475
2038-04-01,2091769.7133546222,1906631.4476740777,2695379.86878,3455236.0853701537,1979410.4004403742,2631602.750422423,2723704.5161622125,1731284.9807789903,1778643.7974588699,1546478.5652520978,2644922.539435192,1972491.0481273448,2908357.231017742,1775441.3698278756,3568169.068686749,2325310.0055643898,3359299.8010575916,1743622.8022971575,1931982.2654263626,1861514.5788991044
2038-05-01,2123975.0468718344,1901022.4515440692,2683595.660933402,3460519.620445928,1966921.041400071,2641042.332672322,2789368.00228569,1755597.021655861,1800664.382396176,1540873.034629838,2653887.412727733,1973260.995339527,2956623.7551321136,1782140.5555049514,3627740.1478207097,2371648.7787890634,3370478.4480360947,1750043.6454071216,1965030.433907791,1901487.3957727381
2038-06-01,2136899.820653932,1906492.8377619013,2654638.2851815834,3464105.9805688136,1963938.6071443458,2653689.6637915485,2829424.199874116,1768536.4153588251,1825371.4349220626,1545799.100851942,2646359.0529140555,1996210.7755276712,3032330.4195808037,1771625.6399861958,3676957.339694346,2365441.5375316557,3372336.32357726,1734374.9473675913,1968973.65663739,1906764.2978659105
2038-07-01,2122161.82813919,1880750.9955886863,2619391.2535089464,3503005.292855473,1961982.7610228092,2677825.6105241827,2827609.20126654,1774489.8229685354,1807011.707283933,1538018.3483499472,2624990.521415702,2022364.2727644856,3075063.2153568063,1779390.736476639,3649095.3303352334,2377599.591555624,3394143.1342093763,1697158.1610314501,1966322.6535102234,1902640.3735520844
